Table,Column,Description,Sample Values
PS_D_ACAD_LOAD_BLD,ACAD_LOAD_CD,"The common description of an academic load, which is calculated based on the number of credits a student is taking","FT, PT"
PS_D_ACAD_LOAD_BLD,ACAD_LOAD_LD,"The long description of an academic load, which is calculated based on the number of credits a student is taking","Full Time, Part Time"
PS_D_ACAD_LOAD_BLD,ACAD_LOAD_SD,"The short description of an academic load, which is calculated based on the number of credits a student is taking","FT, PT"
PS_D_ACAD_LOAD_BLD,ACAD_LOAD_SID,"The system ID of an academic load, which is calculated based on the number of credits a student is taking","801, 802"
PS_D_ACAD_LOAD_BLD,APPRVD_IND,,
PS_D_ACAD_LOAD_BLD,BATCH_SID,,
PS_D_ACAD_LOAD_BLD,CREATED_EW_DTTM,,
PS_D_ACAD_LOAD_BLD,CURRENT_IND,,
PS_D_ACAD_LOAD_BLD,DATA_ORIGIN,,
PS_D_ACAD_LOAD_BLD,EFF_END_DT,,
PS_D_ACAD_LOAD_BLD,EFF_START_DT,,
PS_D_ACAD_LOAD_BLD,LASTUPD_EW_DTTM,,
PS_D_ACAD_LOAD_BLD,LOAD_ERROR,,
PS_D_ACAD_LOAD_BLD,SRC_SYS_ID,,
PS_D_ACAD_LOAD_BLD,ACAD_LOAD_CD,,
PS_D_ACAD_LOAD_BLD,ACAD_LOAD_LD,,
PS_D_ACAD_LOAD_BLD,ACAD_LOAD_SD,,
PS_D_ACAD_LOAD_BLD,ACAD_LOAD_SID,,
PS_D_ACAD_LOAD_BLD,APPRVD_IND,,
PS_D_ACAD_LOAD_BLD,BATCH_SID,,
PS_D_ACAD_LOAD_BLD,CREATED_EW_DTTM,,
PS_D_ACAD_LOAD_BLD,CURRENT_IND,,
PS_D_ACAD_LOAD_BLD,DATA_ORIGIN,,
PS_D_ACAD_LOAD_BLD,EFF_END_DT,,
PS_D_ACAD_LOAD_BLD,EFF_START_DT,,
PS_D_ACAD_LOAD_BLD,LASTUPD_EW_DTTM,,
PS_D_ACAD_LOAD_BLD,LOAD_ERROR,,
PS_D_ACAD_LOAD_BLD,SRC_SYS_ID,,
PS_D_ACAD_LVL_BLD,ACAD_LVL_CD,,
PS_D_ACAD_LVL_BLD,ACAD_LVL_LD,,
PS_D_ACAD_LVL_BLD,ACAD_LVL_SD,,
PS_D_ACAD_LVL_BLD,ACAD_LVL_SID,,
PS_D_ACAD_LVL_BLD,BATCH_SID,,
PS_D_ACAD_LVL_BLD,CREATED_EW_DTTM,,
PS_D_ACAD_LVL_BLD,CURRENT_IND,,
PS_D_ACAD_LVL_BLD,DATA_ORIGIN,,
